지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
47290,계양동,계양주공,39.72,"9,450",1985,2021-01-20,5
47290,계양동,계양주공,39.72,"9,900",1985,2021-01-11,4
47290,계양동,계양주공,39.72,"9,900",1985,2021-01-05,3
47290,진량읍 선화리,진량영호맨션,59.88,"5,700",1993,2021-01-31,7
47290,압량읍 부적리,부적주공,59.99,"11,500",1997,2021-01-30,7
47290,대평동,대평그린빌,59.45,"19,100",2004,2021-01-23,8
47290,하양읍 동서리,하양코아루,84.9643,"26,800",2016,2021-01-28,13
47290,하양읍 동서리,하나맨션(2차),59.365,"8,700",1992,2021-01-19,9
47290,하양읍 동서리,하양코아루,73.9533,"23,750",2016,2021-01-16,8
47290,사동,경산사동사랑으로부영6차,82.4494,"22,500",2013,2021-01-25,15
47290,정평동,현대,74.96,"16,400",1992,2021-01-05,5
47290,중산동,펜타힐즈더샵1차,72.7097,"51,800",2017,2021-01-11,15
47290,사동,부영3차원앙마을,84.9751,"15,300",2003,2021-01-25,9
47290,옥산동,우방타운,134.42,"24,500",1993,2021-01-16,6
47290,백천동,경산백천월드메르디앙,84.9481,"23,600",2005,2021-01-23,12
47290,사동,부영(5차)그린마을,84.9751,"16,700",2003,2021-01-24,9
47290,사동,부영1차,59.889,"11,500",2001,2021-01-23,10
47290,진량읍 북리,우림필유,84.9019,"18,100",2007,2021-01-29,5
47290,정평동,우방맨션2차,72.17,"22,000",1991,2021-01-28,9
47290,압량읍 부적리,압량세익로얄,74.34,"13,000",1994,2021-01-27,9
47290,옥산동,협화타운,56.56,"10,000",1994,2021-01-04,9
47290,대평동,대평그린빌,59.99,"20,400",2004,2021-01-19,13
47290,사정동,부광,51.96,"7,000",1980,2021-01-02,1
47290,중방동,중방e-편한세상2단지,121.929,"55,000",2010,2021-01-21,13
47290,하양읍 금락리,하양우방3차,59.43,"13,500",1994,2021-01-28,3
47290,진량읍 신상리,보국웰리치,84.49,"17,100",2005,2021-01-24,19
47290,진량읍 신상리,보국웰리치,59.84,"10,900",2005,2021-01-21,8
47290,하양읍 동서리,하양2차코아루,84.9152,"25,700",2017,2021-01-29,8
47290,압량읍 부적리,우진,47.83,"9,000",1980,2021-01-27,3
47290,계양동,계양주공,39.72,"10,000",1985,2021-01-20,4
47290,진량읍 북리,우림필유,84.9019,"18,000",2007,2021-01-29,7
47290,진량읍 봉회리,경산3차삼주봉황타운,59.62,"8,000",1997,2021-01-04,11
47290,중산동,펜타힐즈더샵1차,84.9772,"49,000",2017,2021-01-05,11
47290,중산동,펜타힐즈더샵1차,84.9772,"60,500",2017,2021-01-25,11
47290,하양읍 금락리,하양우방3차,59.43,"14,500",1994,2021-01-18,8
47290,사동,부영(5차)그린마을,59.987,"12,600",2003,2021-01-20,13
47290,하양읍 금락리,하양우방2차,84.81,"16,000",1989,2021-01-25,2
47290,진량읍 봉회리,경산2차삼주봉황타운,59.26,"7,600",1996,2021-01-27,13
47290,계양동,경산임당호반베르디움,84.7892,"54,300",2019,2021-01-23,11
47290,진량읍 선화리,이안경산진량아파트,84.891,"25,700",2017,2021-01-19,14
47290,진량읍 북리,경산4차삼주봉황타운,34.2,"3,900",1998,2021-01-27,9
47290,하양읍 금락리,천호,46.284,"7,050",2003,2021-01-22,7
47290,중산동,경남신성,116.95,"33,800",1996,2021-01-06,10
47290,사동,부영2차,84.9768,"14,900",2001,2021-01-23,1
47290,압량읍 부적리,우진,47.83,"9,000",1980,2021-01-09,4
47290,압량읍 인안리,윤성3차,59.94,"5,000",1996,2021-01-25,10
47290,정평동,현대타운,59.82,"18,300",1996,2021-01-15,14
47290,진량읍 봉회리,경산2차삼주봉황타운,59.26,"7,200",1996,2021-01-09,7
47290,진량읍 봉회리,경산1차삼주봉황타운,59.26,"6,600",1996,2021-01-05,17
47290,계양동,계양주공,47.1,"10,000",1985,2021-01-04,1
47290,사동,부영1차,59.889,"11,900",2001,2021-01-21,11
47290,사동,부영2차,84.9768,"15,900",2001,2021-01-17,16
47290,진량읍 봉회리,경산1차삼주봉황타운,59.26,"6,500",1996,2021-01-23,2
47290,압량읍 신대리,신대팰리스,59.9605,"14,300",2011,2021-01-24,2
