법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
가락동,가락(1차)쌍용아파트,59.92,43000,1997,2013-01-19,10,석촌역,개통 전
잠실동,리센츠,124.22,128500,2008,2013-01-17,14,석촌역,개통 전
신천동,미성,46.54,45000,1980,2013-01-25,3,석촌역,개통 전
장지동,송파파인타운2단지,84.94,46200,2008,2013-01-10,1,석촌역,개통 전
가락동,시영1,40.09,48000,1980,2013-01-23,2,석촌역,개통 전
잠실동,리센츠,84.99,89500,2008,2013-01-12,10,석촌역,개통 전
잠실동,리센츠,124.22,115300,2008,2013-01-02,5,석촌역,개통 전
거여동,거여1단지,49.8,27250,1997,2013-01-31,5,석촌역,개통 전
잠실동,잠실엘스,84.88,80400,2008,2013-01-05,15,석촌역,개통 전
잠실동,잠실엘스,84.97,86500,2008,2013-01-19,21,석촌역,개통 전
신천동,진주,118.94,95000,1980,2013-01-04,5,석촌역,개통 전
잠실동,트리지움,59.88,69500,2007,2013-01-10,19,석촌역,개통 전
문정동,문정시영,35.46,17950,1989,2013-01-25,7,석촌역,개통 전
잠실동,리센츠,84.99,90000,2008,2013-01-18,6,석촌역,개통 전
신천동,파크리오,84.79,76000,2008,2013-01-14,29,석촌역,개통 전
신천동,파크리오,84.79,78500,2008,2013-01-17,18,석촌역,개통 전
신천동,파크리오,59.95,63200,2008,2013-01-14,10,석촌역,개통 전
방이동,올림픽선수기자촌3단지,100.31,77500,1988,2013-01-28,3,석촌역,개통 전
문정동,현대2,84.96,35500,1995,2013-01-07,6,석촌역,개통 전
문정동,문정시영,35.46,18400,1989,2013-01-20,8,석촌역,개통 전
문정동,문정시영,39.69,22500,1989,2013-01-21,6,석촌역,개통 전
가락동,시영2,44.6,51000,1982,2013-01-21,5,석촌역,개통 전
가락동,가락(1차)쌍용아파트,84.69,49000,1997,2013-01-21,2,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,37000,1997,2013-01-21,1,석촌역,개통 전
신천동,미성,55.62,56000,1980,2013-01-24,3,석촌역,개통 전
신천동,파크리오,84.9,69000,2008,2013-01-02,17,석촌역,개통 전
잠실동,레이크팰리스,84.82,89000,2006,2013-01-23,16,석촌역,개통 전
풍납동,칼라,91.57,30800,1998,2013-01-09,3,석촌역,개통 전
잠실동,잠실엘스,84.8,84000,2008,2013-01-24,16,석촌역,개통 전
잠실동,잠실엘스,84.8,85000,2008,2013-01-25,5,석촌역,개통 전
잠실동,레이크팰리스,84.82,82000,2006,2013-01-29,4,석촌역,개통 전
잠실동,레이크팰리스,116.19,110000,2006,2013-01-24,18,석촌역,개통 전
잠실동,레이크팰리스,84.82,77000,2006,2013-01-12,1,석촌역,개통 전
거여동,거여5단지,59.74,31500,1997,2013-01-10,4,석촌역,개통 전
가락동,신한에스빌-미지엔,84.99,38300,2002,2013-01-05,13,석촌역,개통 전
가락동,우성,58.46,41000,1986,2013-01-16,12,석촌역,개통 전
가락동,가락금호아파트,59.91,38200,1997,2013-01-08,4,석촌역,개통 전
방이동,코오롱아파트,84.95,50000,1991,2013-01-14,5,석촌역,개통 전
신천동,파크리오,84.9,74000,2008,2013-01-25,36,석촌역,개통 전
거여동,거여1단지,59.73,31000,1997,2013-01-19,2,석촌역,개통 전
가락동,시영2,56.17,80000,1982,2013-01-22,4,석촌역,개통 전
신천동,파크리오,84.9,70300,2008,2013-01-06,24,석촌역,개통 전
잠실동,트리지움,84.83,84500,2007,2013-01-12,17,석촌역,개통 전
문정동,문정가락현대1차,84.98,43500,1984,2013-01-16,1,석촌역,개통 전
가락동,시영2,44.89,52000,1982,2013-01-23,5,석촌역,개통 전
문정동,문정대우푸르지오1차,84.86,52000,1999,2013-01-28,8,석촌역,개통 전
가락동,우성,58.46,41500,1986,2013-01-07,11,석촌역,개통 전
문정동,문정래미안,120.97,73000,2004,2013-01-21,18,석촌역,개통 전
거여동,거여1단지,49.8,28000,1997,2013-01-22,11,석촌역,개통 전
풍납동,대동1,59.96,30000,1999,2013-01-28,10,석촌역,개통 전
오금동,상아2차아파트,60.7,41000,1988,2013-01-07,9,석촌역,개통 전
거여동,거여1단지,39.6,23000,1997,2013-01-15,11,석촌역,개통 전
가락동,시영2,50.12,65000,1982,2013-01-18,1,석촌역,개통 전
가락동,시영1,40.09,45850,1980,2013-01-21,2,석촌역,개통 전
거여동,거여1단지,39.6,21400,1997,2013-01-12,5,석촌역,개통 전
문정동,건영1,84.81,47000,1996,2013-01-19,9,석촌역,개통 전
송파동,래미안송파파인탑,64.66,52200,2012,2013-01-22,1,석촌역,개통 전
가락동,시영2,51.17,63500,1982,2013-01-10,1,석촌역,개통 전
풍납동,동아한가람1,84.38,47000,1995,2013-01-15,18,석촌역,개통 전
가락동,시영1,40.09,45500,1980,2013-01-18,5,석촌역,개통 전
방이동,한양3,126.9,70000,1985,2013-01-02,6,석촌역,개통 전
장지동,송파파인타운12단지,84.9,56000,2011,2013-01-05,20,석촌역,개통 전
잠실동,잠실엘스,59.96,65000,2008,2013-01-11,22,석촌역,개통 전
신천동,장미1,71.2,59000,1979,2013-01-05,14,석촌역,개통 전
가락동,시영1,51.4,56650,1980,2013-01-16,3,석촌역,개통 전
풍납동,신성노바빌아파트,114.6,70000,2000,2013-01-07,6,석촌역,개통 전
잠실동,리센츠,84.99,90000,2008,2013-01-31,21,석촌역,개통 전
가락동,시영1,51.4,58000,1980,2013-01-21,2,석촌역,개통 전
가락동,시영1,51.4,56300,1980,2013-01-11,4,석촌역,개통 전
방이동,코오롱아파트,84.95,54000,1991,2013-01-12,6,석촌역,개통 전
방이동,코오롱아파트,84.95,50500,1991,2013-01-03,11,석촌역,개통 전
방이동,올림픽선수기자촌3단지,135.99,115000,1988,2013-01-30,7,석촌역,개통 전
문정동,대림미소나눔,77.8,37500,2004,2013-01-11,6,석촌역,개통 전
잠실동,리센츠,84.99,89900,2008,2013-01-30,22,석촌역,개통 전
가락동,시영1,45.12,51000,1980,2013-01-17,2,석촌역,개통 전
송파동,금강KCC,58.45,38000,2003,2013-01-05,11,석촌역,개통 전
가락동,래미안파크팰리스,84.936,65500,2007,2013-01-26,9,석촌역,개통 전
방이동,올림픽카운티,38.22,21500,2003,2013-01-02,7,석촌역,개통 전
가락동,정산파크뷰,76.52,38200,2004,2013-01-28,6,석촌역,개통 전
잠실동,레이크팰리스,135.82,125000,2006,2013-01-31,30,석촌역,개통 전
신천동,미성,46.54,45500,1980,2013-01-23,3,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,42600,1997,2013-01-18,4,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,40500,1997,2013-01-25,6,석촌역,개통 전
가락동,시영1,40.09,45800,1980,2013-01-22,3,석촌역,개통 전
거여동,거여1단지,39.6,20800,1997,2013-01-03,6,석촌역,개통 전
풍납동,현대1,83.02,50000,1995,2013-01-26,13,석촌역,개통 전
풍납동,현대1,71.17,42000,1995,2013-01-19,20,석촌역,개통 전
방이동,올림픽베어스타운1,59.37,42000,1996,2013-01-08,13,석촌역,개통 전
방이동,올림픽선수기자촌2단지,83.06,61500,1988,2013-01-31,4,석촌역,개통 전
마천동,송파파크데일1단지,84.99,46500,2011,2013-01-17,14,석촌역,개통 전
신천동,파크리오,84.9,73000,2008,2013-01-11,33,석촌역,개통 전
가락동,시영1,40.09,45900,1980,2013-01-22,1,석촌역,개통 전
잠실동,리센츠,27.68,39500,2008,2013-01-21,20,석촌역,개통 전
문정동,올림픽훼밀리타운,84.751,58000,1988,2013-01-21,1,석촌역,개통 전
가락동,시영2,44.6,49800,1982,2013-01-10,2,석촌역,개통 전
가락동,시영2,39.64,50500,1982,2013-01-18,3,석촌역,개통 전
가락동,가락금호아파트,85.0,53000,1997,2013-01-05,17,석촌역,개통 전
가락동,시영2,31.44,39500,1982,2013-01-21,4,석촌역,개통 전
가락동,시영2,29.09,39800,1982,2013-01-21,1,석촌역,개통 전
잠실동,우성아파트,96.65,75000,1981,2013-01-12,9,석촌역,개통 전
신천동,미성,46.54,43000,1980,2013-01-14,1,석촌역,개통 전
송파동,현대,84.96,41500,1997,2013-01-22,3,석촌역,개통 전
삼전동,동승,53.04,25200,1993,2013-01-03,2,석촌역,개통 전
잠실동,우성아파트,80.35,56000,1981,2013-01-07,7,석촌역,개통 전
가락동,시영2,56.17,79400,1982,2013-01-17,4,석촌역,개통 전
문정동,문정대우푸르지오3차,84.96,43500,2002,2013-01-08,9,석촌역,개통 전
문정동,올림픽훼밀리타운,84.751,68000,1988,2013-01-03,13,석촌역,개통 전
문정동,문정래미안,84.96,64300,2004,2013-01-12,18,석촌역,개통 전
가락동,현대7,84.64,43300,1991,2013-01-14,5,석촌역,개통 전
신천동,파크리오,144.77,97000,2008,2013-01-17,1,석촌역,개통 전
송파동,성지,84.92,48000,1992,2013-01-15,7,석촌역,개통 전
장지동,송파파인타운1단지,84.95,49700,2010,2013-01-16,6,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,61400,1988,2013-01-15,2,석촌역,개통 전
신천동,파크리오,84.79,74000,2008,2013-01-09,12,석촌역,개통 전
방이동,올림픽카운티,38.7,21000,2003,2013-01-11,12,석촌역,개통 전
신천동,더샵스타리버,171.53,95000,2006,2013-01-10,32,석촌역,개통 전
잠실동,레이크팰리스,135.82,135000,2006,2013-01-06,6,석촌역,개통 전
신천동,파크리오,84.9,74500,2008,2013-02-23,19,석촌역,개통 전
신천동,진주,81.88,74000,1980,2013-02-28,5,석촌역,개통 전
송파동,현대,84.96,47700,1997,2013-02-06,10,석촌역,개통 전
가락동,예일,253.59,75000,1992,2013-02-12,3,석촌역,개통 전
잠실동,잠실엘스,119.93,119000,2008,2013-02-20,7,석촌역,개통 전
신천동,파크리오,144.77,133500,2008,2013-02-16,32,석촌역,개통 전
잠실동,리센츠,84.99,90000,2008,2013-02-16,25,석촌역,개통 전
문정동,올림픽훼밀리타운,84.751,63000,1988,2013-02-23,2,석촌역,개통 전
장지동,송파파인타운1단지,84.94,47300,2010,2013-02-27,3,석촌역,개통 전
신천동,장미1,99.0,75800,1979,2013-02-27,3,석촌역,개통 전
거여동,거여5단지,84.17,48400,1997,2013-02-23,14,석촌역,개통 전
방이동,올림픽선수기자촌3단지,163.44,127000,1988,2013-02-28,3,석촌역,개통 전
문정동,문정시영,39.69,22500,1989,2013-02-19,8,석촌역,개통 전
