지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
11110,평창동,밀레니엄,108.18,"74,700",2017,2021-09-09,2
11110,효제동,이지마루종로,24.44,"34,800",2021,2021-09-28,8
11110,효제동,이지마루종로,26.33,"34,800",2021,2021-09-27,11
11110,효제동,이지마루종로,20.87,"33,800",2021,2021-09-08,14
11110,효제동,이지마루종로,25.55,"35,500",2021,2021-09-14,12
11110,효제동,이지마루종로,26.65,"35,800",2021,2021-09-09,14
11110,창신동,두산,59.95,"83,000",1999,2021-09-14,8
11110,사직동,광화문스페이스본(106동),144.52,"165,000",2008,2021-09-14,5
11110,교북동,동아,59.98,"83,000",1995,2021-09-08,4
11110,홍파동,경희궁자이(2단지),101.991,"239,500",2017,2021-09-13,13
11110,숭인동,종로동광모닝스카이,15.855,"10,700",2013,2021-09-07,13
11110,효제동,이지마루종로,20.87,"33,800",2021,2021-09-16,10
11110,효제동,이지마루종로,26.65,"35,000",2021,2021-09-29,5
11110,효제동,이지마루종로,24.44,"34,800",2021,2021-09-06,10
11110,창신동,삼흥,57.42,"55,000",1996,2021-09-06,4
11110,효제동,이지마루종로,25.55,"35,300",2021,2021-09-01,10
11110,숭인동,종로센트레빌,59.92,"97,300",2008,2021-09-04,12
11110,홍파동,경희궁자이(2단지),84.944,"200,000",2017,2021-09-07,3
11110,사직동,광화문스페이스본(106동),150.4,"170,000",2008,2021-09-02,8
11110,창신동,창신쌍용2,54.7,"70,000",1993,2021-09-10,6
11110,수송동,로얄팰리스스위트,29.31,"30,000",2005,2021-09-15,12
11110,수송동,로얄팰리스스위트,29.31,"30,200",2005,2021-09-11,17
11110,무악동,인왕산아이파크,114.931,"151,000",2008,2021-09-04,2
11110,견지동,대성스카이렉스,116.03,"115,000",2008,2021-09-08,9
11110,숭인동,삼전솔하임2차,14.69,"12,450",2012,2021-09-04,8
11110,효제동,이지마루종로,20.87,"33,800",2021,2021-10-25,8
11110,홍파동,경희궁자이(2단지),84.614,"221,800",2017,2021-10-31,5
11110,효제동,이지마루종로,20.87,"33,800",2021,2021-10-25,11
11110,창신동,덕산,59.28,"61,700",1999,2021-10-31,3
11110,평창동,삼성,59.97,"70,000",1998,2021-10-24,5
11110,평창동,삼성,59.97,"65,000",1998,2021-10-20,14
11110,숭인동,종로센트레빌,59.92,"90,000",2008,2021-10-20,7
11110,창신동,두산,84.9,"112,500",1999,2021-10-22,8
11110,평창동,삼성,59.97,"66,500",1998,2021-10-21,6
